A,,JLS a,,JLS x,,,YAZ x,,,,BIS a,
B,JLS a,,JLS x,,,YAZ x,YAZ x,,,BIS x,,BIS a
C,,,,,,YAZ a,,,BIS a,,BIS x,BIS x
D,,,JLS a,,,,,,,BIS x,,
E,,,,,,,,,,,,AQC x
F,,,,,,,,,AQC x,,AQC a,
G,,,,,,,,,,AQC a,AQC x,AQC x
H,,,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.14,1,2,3,4,5,6,7,8,9,10,11,12
A,,BNF x,BNF a,,BAH a,,BAH a,,,,,YBB a
B,,BNF a,,BNF x,,BAH x,BAH x,BAH a,YBB a,YBB a,,
C,,,BNF a,,BAH a,,,BAH x,,,,
D,,,,BNF x,,BAH a,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,CGS x,,,,,,,,,,,
H, ,,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.15,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,CDF a,,,BLA a,BLA x
B,,BLH x,BLH a,,,,CDF a,CDF a,,BLA x,,
C,,,,,CDF x,CDF a,,,,,BLA x,
D,,,,,CDF x,CDF x,CDF a,,BLA x,BLA x,,
E,,,YBF a,,,CLC a,,CLC a,,,,
F,,,,YBF a,CLC a,CLC a,CLC x,,,,,
G,YBF a,YBF a,,YBF a,,,CLC a,CLC x,,,,
H,YBF x,,,,CLC x,,,,,,,
,,,,,,,,,,,,
Plate 1.16,1,2,3,4,5,6,7,8,9,10,11,12
A,,YCU a,YCU a,,,,,,,,,
B,YCU a,,,YCU x,,,,,,,,
C,,YCU x,YCU a,YCU a,,,,,,,,
D,,,,,,,,,,,,
E,YCH a,YCH x,,YCH a,CAM x,,,,,CRH x,,
F,YCH x,,YCH a,,,,CAM a,,CRH x,,CRH x,
G,,YCH a,YCH x,,,CAM x,CAM x,CAM a,,,,
H,,,YCH x,,CAM a,CAM x,,CAM a,,CRH a,,CRH x
,,,,,,,,,,,,
Plate 1.17,1,2,3,4,5,6,7,8,9,10,11,12
A,,YCP x,,,,EFK a,,,CCN x,,,
B,YCP x,,YCP a,,,EFK x,,,,CCN x,CCN x,CCN a
C,,YCP x,,,EKF x,,EFK x,EFK a,CCN a,,,
D,YCP x,,YCP a,,EKF x,,EFK a,EFK x,,CCN a,CCN a,CCN a
E,,,,,,BRD x,BRD x,BRD a,,CCQ a,,
F,BVK a,BVK a,BVK a,BVK x,,,,,CCQ x,,CCQ x,
G,BVK x,,BVK x,BVK a,,,,,,,CCQ a,
H,,BVK x,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.18,1,2,3,4,5,6,7,8,9,10,11,12
A,BHV x,,BHV a,,CDQ a,,CDQ a,CDQ a,BIB a,,,BIB a
B,,,BHV a,BHV x,CDQ a,,,CDQa,BIB x,,,
C,,,,BHV x,,CDQ a,,,,BIB x,,
D,,,,,,,,,,BIB x,,
E,,,,,,,YAQ a,YAQ a,,,,
F,,,,,YAQ x,,,YAQ x,,,,
G,,,YDB a,,,YAQ a,,,,,,
